instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,6,0,2,14.110847,0.363625,0.805833,10.749882,331,654,985
2,2011-01-02,1,0,1,0,0,0,2,14.902598000000001,0.353739,0.696087,16.652113,131,670,801
3,2011-01-03,1,0,1,0,1,1,1,8.050924,0.189405,0.437273,16.636703,120,1229,1349
4,2011-01-04,1,0,1,0,2,1,1,8.200000000000001,0.212122,0.590435,10.739832,108,1454,1562
5,2011-01-05,1,0,1,0,3,1,1,9.305237,0.22927,0.436957,12.522300000000001,82,1518,1600
6,2011-01-06,1,0,1,0,4,1,1,8.378268,0.233209,0.518261,6.0008684,88,1518,1606
7,2011-01-07,1,0,1,0,5,1,2,8.057402,0.208839,0.498696,11.304642,148,1362,1510
8,2011-01-08,1,0,1,0,6,0,2,6.765000000000001,0.162254,0.535833,17.875868,68,891,959
9,2011-01-09,1,0,1,0,0,0,1,5.671653,0.116175,0.434167,24.25065,54,768,822
10,2011-01-10,1,0,1,0,1,1,1,6.184153,0.150888,0.482917,14.958889,41,1280,1321
11,2011-01-11,1,0,1,0,2,1,2,6.9327309999999995,0.191464,0.686364,8.182844000000001,43,1220,1263
12,2011-01-12,1,0,1,0,3,1,1,7.0818069999999995,0.160473,0.599545,20.410009,25,1137,1162
13,2011-01-13,1,0,1,0,4,1,1,6.765000000000001,0.150883,0.470417,20.166999999999998,38,1368,1406
14,2011-01-14,1,0,1,0,5,1,1,6.59567,0.188413,0.537826,8.478716,54,1367,1421
15,2011-01-15,1,0,1,0,6,0,2,9.566653,0.248112,0.49875,10.583521,222,1026,1248
16,2011-01-16,1,0,1,0,0,0,1,9.498347,0.234217,0.48375,12.625010999999999,251,953,1204
17,2011-01-17,1,0,1,1,1,0,2,7.209153,0.176771,0.5375,12.999139,117,883,1000
18,2011-01-18,1,0,1,0,2,1,2,8.883347,0.232333,0.861667,9.833924999999999,9,674,683
